iter	RMSE
0	0.1392748025
1	0.1366121147
2	0.1347290983
3	0.1323186137
4	0.1300325645
5	0.1278008621
6	0.1258289983
7	0.1239166649
8	0.1220341159
9	0.1201714419
10	0.1185147999
11	0.1167069379
12	0.1149838296
13	0.1134320974
14	0.1119642712
15	0.1106717366
16	0.109275688
17	0.1079701148
18	0.1066513505
19	0.1054355466
20	0.1041341456
21	0.1032652066
22	0.1022889224
23	0.1012898409
24	0.1003627472
25	0.09943647186
26	0.09853171696
27	0.09765954884
28	0.09697232923
29	0.09613288062
30	0.09537938732
31	0.0947138512
32	0.09406420326
33	0.09338626889
34	0.09278796172
35	0.09219161117
36	0.09159073893
37	0.09120507353
38	0.09067017036
39	0.09015545351
40	0.08968700036
41	0.08923602291
42	0.08882798684
43	0.08838696129
44	0.08795090389
45	0.08758333272
46	0.08707059558
47	0.08676073394
48	0.08645457733
49	0.08614308289
50	0.08585638669
51	0.08552001241
52	0.08524402731
53	0.08496327735
54	0.08463230789
55	0.08441966073
56	0.08418781791
57	0.08394899467
58	0.08380266504
59	0.08358873652
60	0.0832924154
61	0.0830822158
62	0.08293068511
63	0.08263939279
64	0.08243339454
65	0.08222390203
66	0.08199609447
67	0.08177886777
68	0.08161231344
69	0.08146747873
70	0.08130348106
71	0.08108076106
72	0.08095072185
73	0.08080239441
74	0.08073691202
75	0.0805264237
76	0.08042892947
77	0.08032608249
78	0.08019251884
79	0.08007559089
80	0.07992373402
81	0.07985198143
82	0.07966376919
83	0.07960955016
84	0.07942859888
85	0.0793077698
86	0.07926067481
87	0.0791195554
88	0.07896929106
89	0.07893356831
90	0.07889453904
91	0.07885495663
92	0.07876092602
93	0.07868331951
94	0.07864877141
95	0.07860718838
96	0.07846442491
97	0.07837331894
98	0.07827619189
99	0.07814033212
100	0.0780549102
101	0.07795941571
102	0.07792563089
103	0.07783343397
104	0.07772583766
105	0.07765390242
106	0.07763606772
107	0.07760683591
108	0.07757200711
109	0.07744810646
110	0.07740973876
111	0.07729612926
112	0.07722957092
113	0.07713285656
114	0.07710272009
115	0.07700578445
116	0.07694861804
117	0.07687371595
118	0.07686744621
119	0.07685793984
120	0.07680172457
121	0.07674705492
122	0.07667084046
123	0.07665514795
124	0.0766123078
125	0.07657776569
126	0.07656705651
127	0.07654791861
128	0.07646364706
129	0.07638854381
130	0.07629655716
131	0.0762739873
132	0.07618688076
133	0.07613756211
134	0.07607489364
135	0.07603616221
136	0.07597131002
137	0.07588179593
138	0.07584867261
139	0.0757945026
140	0.07573193586
141	0.07566063329
142	0.07558702649
143	0.07558322932
144	0.07552801012
145	0.07547879871
146	0.07539511439
147	0.07539325823
148	0.07537636342
149	0.07537231122
150	0.07537010756
151	0.07527974011
152	0.0752429174
153	0.07518051355
154	0.07508097947
155	0.07507534445
156	0.07504729479
157	0.07504434957
158	0.07497976018
159	0.07490731651
160	0.07485914993
161	0.0747955018
162	0.07473639293
163	0.07466985618
164	0.07460756865
165	0.07458306884
166	0.07449225185
167	0.07442879883
168	0.07437037787
169	0.07431579982
170	0.0742595534
171	0.0742305664
172	0.07415608293
173	0.0741069603
174	0.07404249438
175	0.07397246646
176	0.073921762
177	0.07387803526
178	0.07383772847
179	0.0737751422
180	0.07373151937
181	0.07368023747
182	0.07362565472
183	0.0735694345
184	0.07352964225
185	0.0734890133
186	0.07344387045
187	0.07339424312
188	0.07336693866
189	0.07329244514
190	0.07324986126
191	0.073194197
192	0.07313484519
193	0.07307496552
194	0.07303181475
195	0.07297378631
196	0.07292678461
197	0.07289157523
198	0.07282027517
199	0.07276741792
200	0.07272633939
201	0.07268735452
202	0.07263732086
203	0.07259155891
204	0.07254601744
205	0.07251365631
206	0.0724659515
207	0.07243879994
208	0.07240520258
209	0.07235046257
210	0.07229928864
211	0.07224658064
212	0.0722020601
213	0.07213983849
214	0.07208034935
215	0.07205643494
216	0.07202254976
217	0.07198705018
218	0.07192378281
219	0.07188145166
220	0.07182101505
221	0.07178160321
222	0.07174320367
223	0.07171831208
224	0.07168545095
225	0.07164640616
226	0.0716022744
